carpark_id,carpark_location,carpark_latitude,carpark_longitude
EC4,BLK 1-3/1A EUNOS CRESCENT,33641.6254,35720.6280
EC5,BLK 9-10 EUNOS CRESCENT,33809.3711,35717.5859
EC7,BLK 842-848 SIMS AVENUE,33339.4481,35601.9233
EC7T,BLK 842 TO 848 SIM AVENUE,33420.8287,35625.1072
EC8,BLK 2A EUNOS MRT SIMS AVENUE,33499.0305,35778.0200
EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,33964.0908,35070.0793
EI3,BLK 410/411/414-417 EUNOS ROAD 5,33456.9535,35240.6635
EPL,BLK 1/7 EVERTON PARK,28847.7781,28733.8679
EPM,BLK 6A EVERTON ROAD,28739.5121,28622.0835
FRM,BLK 808 FRENCH ROAD MSCP,32341.4155,31121.2668
FR2C,BLK 3/4 QUEEN'S ROAD,33394.0586,25150.3008
FR2S,BLK 2/3/4 QUEEN'S ROAD,33354.5073,25091.4622
FR3M,BLK 8A EMPRESS ROAD,33218.9585,24983.1434
FR4M,BLK 6A FARRER ROAD,33238.9594,25130.4814
